Sample Index,Export Time (s),Inference Time (s)
1,18.59067702293396,0.9718165397644043
3,18.652710914611816,0.8201990127563477
4,18.659612894058228,0.7754263877868652
5,18.695046186447144,0.7773358821868896
7,18.724978923797607,1.1975784301757812
9,18.44666624069214,1.3621962070465088
10,18.475927591323853,0.8975541591644287
11,18.90743327140808,0.7515368461608887
13,18.55667757987976,1.3874847888946533
15,18.627563953399658,0.8629920482635498
16,18.68443250656128,0.8695504665374756
17,19.431190729141235,0.8905715942382812
19,18.661500930786133,0.7416274547576904
21,18.821993589401245,0.9204113483428955
22,18.604578733444214,0.882396936416626
24,18.540945053100586,0.7296569347381592
26,18.446125745773315,0.945392370223999
28,18.446900606155396,0.720449686050415
30,18.570753574371338,0.90824294090271
31,18.56772494316101,0.7519199848175049
33,18.524855852127075,0.7151463031768799
35,18.614294290542603,0.7507615089416504
36,18.59874153137207,0.7823226451873779
37,18.732316970825195,0.8326244354248047
38,18.81676411628723,0.7765316963195801
40,17.43386220932007,0.7156453132629395
42,19.037954568862915,0.7509617805480957
44,18.814252614974976,0.7261958122253418
46,18.85771369934082,0.8928194046020508
47,17.60179042816162,0.8804562091827393
48,19.168566703796387,0.8509106636047363
51,17.38658332824707,2.420593738555908
53,17.497476816177368,0.8031995296478271
54,19.25641703605652,0.7969067096710205
56,17.289458513259888,0.7155203819274902
58,19.283284425735474,0.8949406147003174
60,19.27865958213806,0.7529172897338867
62,17.59490466117859,0.9270999431610107
63,19.438974380493164,0.7912836074829102
64,17.686986207962036,0.7325923442840576
65,19.65861439704895,0.87375807762146
66,17.537577629089355,0.7850077152252197
67,19.913503170013428,0.7780652046203613
68,17.5648295879364,0.7351655960083008
69,19.891383171081543,0.7759582996368408
70,17.55695152282715,0.75697922706604
71,20.025718688964844,0.8010892868041992
72,17.699607610702515,0.7652356624603271
73,20.112085819244385,0.8167531490325928
74,17.651166439056396,0.7366466522216797
75,19.939823627471924,0.7640480995178223
76,17.799110412597656,0.7518675327301025
77,17.50118660926819,0.7354514598846436
78,20.470835208892822,0.7695674896240234
79,17.681766033172607,0.733820915222168
80,20.32013726234436,0.7691524028778076
81,17.642237901687622,0.7338387966156006
82,17.429712533950806,0.7330987453460693
83,20.598204135894775,0.7657930850982666
84,17.682071685791016,0.8920633792877197
85,20.487916231155396,0.8010876178741455
86,17.79374623298645,0.7671239376068115
87,17.591115713119507,0.8411352634429932
88,20.7541241645813,0.8778254985809326
89,17.83665180206299,0.805828332901001
90,17.604868173599243,0.7907249927520752
91,20.807148694992065,0.8157343864440918
92,17.735669374465942,0.7657840251922607
93,17.42944359779358,0.7445051670074463
94,21.180495738983154,0.7866909503936768
95,17.828526496887207,0.7460715770721436
96,17.498018980026245,0.7346854209899902
97,21.154966354370117,0.7721078395843506
98,17.762104988098145,0.7505624294281006
99,17.547159433364868,0.7323005199432373
