Sample Index,Inject Time (s),Inference Time (s)
1,0.033963680267333984,0.665618896484375
3,0.03309321403503418,0.3038496971130371
4,0.03337454795837402,0.30127620697021484
5,0.03350496292114258,0.30270910263061523
7,0.03332161903381348,0.294694185256958
9,0.033425092697143555,0.5791053771972656
10,0.0332798957824707,0.3054790496826172
11,0.03378725051879883,0.3197650909423828
13,0.0339207649230957,0.2965066432952881
15,0.03378438949584961,0.667386531829834
16,0.03374910354614258,0.3056011199951172
17,0.03379034996032715,0.31305742263793945
19,0.03379535675048828,0.293212890625
21,0.03368663787841797,0.3006010055541992
22,0.03335905075073242,0.3005523681640625
24,0.03366518020629883,0.29883766174316406
26,0.03391218185424805,0.2991008758544922
28,0.03342318534851074,0.29613733291625977
30,0.03380727767944336,0.3029611110687256
31,0.03394198417663574,0.8364429473876953
33,0.033944129943847656,0.2967550754547119
35,0.0334780216217041,0.3014833927154541
36,0.03392314910888672,0.902045488357544
37,0.03408527374267578,0.3058891296386719
38,0.03353238105773926,0.3060939311981201
40,0.033919334411621094,0.29244184494018555
42,0.03359389305114746,0.3027944564819336
44,0.03404116630554199,0.9708778858184814
46,0.03403353691101074,0.30121493339538574
47,0.0335543155670166,0.3068995475769043
48,0.034081220626831055,0.30495119094848633
51,0.03358197212219238,0.30238842964172363
53,0.03406834602355957,0.30210423469543457
54,0.033669471740722656,0.3073446750640869
56,0.03419160842895508,0.29314684867858887
58,0.0336606502532959,0.31580042839050293
60,0.034217119216918945,0.29555583000183105
62,0.03356361389160156,0.3062305450439453
63,0.03416609764099121,0.3026108741760254
64,0.0333864688873291,0.3020920753479004
65,0.03417229652404785,0.30727314949035645
66,0.03412270545959473,0.3016932010650635
67,0.033622026443481445,0.3097860813140869
68,0.03411531448364258,0.29853367805480957
69,0.03355264663696289,0.30660319328308105
70,0.03400468826293945,0.2973904609680176
71,0.03407168388366699,0.2972066402435303
72,0.03359580039978027,0.3120598793029785
73,0.034015655517578125,0.3001110553741455
74,0.03355145454406738,0.30382561683654785
75,0.03410935401916504,0.2974393367767334
76,0.034035682678222656,0.2947201728820801
77,0.033536672592163086,0.3027610778808594
78,0.034075260162353516,0.2968268394470215
79,0.03398704528808594,0.2949516773223877
80,0.0337519645690918,0.3026900291442871
81,0.0340425968170166,0.29605674743652344
82,0.03402066230773926,0.2938060760498047
83,0.03363633155822754,0.30171966552734375
84,0.033979177474975586,0.3083157539367676
85,0.03348851203918457,0.2998075485229492
86,0.03361248970031738,0.3071308135986328
87,0.03420376777648926,0.307466983795166
88,0.03352928161621094,0.3038828372955322
89,0.03375744819641113,0.3113396167755127
90,0.03414416313171387,0.3059978485107422
91,0.03360295295715332,0.29837560653686523
92,0.033538103103637695,0.3081634044647217
93,0.03412032127380371,0.30704665184020996
94,0.03417563438415527,0.29573774337768555
95,0.03354310989379883,0.29972386360168457
96,0.03352522850036621,0.3006596565246582
97,0.03400254249572754,0.295208215713501
98,0.03398871421813965,0.294966459274292
99,0.033566951751708984,0.311154842376709
