Sample Index,Inject Time (s),Inference Time (s)
1,0.12361884117126465,0.927769660949707
3,0.12282323837280273,0.8598380088806152
4,0.12299823760986328,0.7886645793914795
5,0.12306928634643555,0.788264274597168
7,0.12299251556396484,1.2080228328704834
9,0.12348175048828125,1.3420915603637695
10,0.12365889549255371,0.9250705242156982
11,0.12312459945678711,0.7661769390106201
13,0.12322831153869629,1.3631396293640137
15,0.1232612133026123,0.886791467666626
16,0.12303423881530762,0.8908839225769043
17,0.12326359748840332,0.8950543403625488
19,0.1237192153930664,0.7587087154388428
21,0.1232442855834961,0.9398093223571777
22,0.12401723861694336,0.9041988849639893
24,0.12318944931030273,0.7446780204772949
26,0.12312984466552734,0.9684865474700928
28,0.12335991859436035,0.7329208850860596
30,0.12362527847290039,0.9292707443237305
31,0.12395310401916504,0.7673022747039795
33,0.12349295616149902,0.732961893081665
35,0.12315249443054199,0.7596492767333984
36,0.12386488914489746,0.8009839057922363
37,0.12420368194580078,0.8531773090362549
38,0.12426447868347168,0.7959520816802979
40,0.12466597557067871,0.7339649200439453
42,0.12336087226867676,0.7665722370147705
44,0.12349653244018555,0.7417585849761963
46,0.1239316463470459,0.9144899845123291
47,0.12366867065429688,0.8999760150909424
48,0.12423229217529297,0.8728067874908447
51,0.12363719940185547,2.430194616317749
53,0.12369489669799805,0.814842939376831
54,0.12432241439819336,0.8163838386535645
56,0.12349414825439453,0.7331743240356445
58,0.12325549125671387,0.9221224784851074
60,0.12420821189880371,0.7664730548858643
62,0.1234889030456543,0.9548811912536621
63,0.12417054176330566,0.804481029510498
64,0.1239924430847168,0.7518773078918457
65,0.12438702583312988,0.8908343315124512
66,0.12378454208374023,0.816373348236084
67,0.12441349029541016,0.7876651287078857
68,0.12469840049743652,0.7542870044708252
69,0.12444472312927246,0.7953963279724121
70,0.12387633323669434,0.756603479385376
71,0.12433433532714844,0.8096144199371338
72,0.12411165237426758,0.7886655330657959
73,0.12447309494018555,0.8113789558410645
74,0.12422585487365723,0.7577319145202637
75,0.12331962585449219,0.780057430267334
76,0.12386059761047363,0.7713170051574707
77,0.12424540519714355,0.754704475402832
78,0.12447786331176758,0.8601267337799072
79,0.1237344741821289,0.7557001113891602
80,0.12425637245178223,0.7828304767608643
81,0.12382102012634277,0.7525393962860107
82,0.12350630760192871,0.7671627998352051
83,0.12462496757507324,0.7811887264251709
84,0.12385940551757812,0.9171056747436523
85,0.12421512603759766,0.8306200504302979
86,0.12428784370422363,0.7853803634643555
87,0.12369370460510254,0.8701608180999756
88,0.12430572509765625,0.8986821174621582
89,0.1241300106048584,0.8279292583465576
90,0.12442588806152344,0.812603235244751
91,0.12444782257080078,0.8219752311706543
92,0.12415885925292969,0.791750431060791
93,0.12369060516357422,0.7598121166229248
94,0.12466239929199219,0.8003444671630859
95,0.12394094467163086,0.7671418190002441
96,0.12338066101074219,0.7476003170013428
97,0.12427806854248047,0.7731409072875977
98,0.12366151809692383,0.7648134231567383
99,0.12330889701843262,0.7480008602142334
