Sample Index,Export Time (s),Inference Time (s),Inject Time (s)
0,3.2442405223846436,0.016376256942749023,0.060816049575805664
1,3.1734507083892822,0.02676677703857422,0.011450767517089844
2,4.668795108795166,0.021174907684326172,0.011412382125854492
3,3.2580506801605225,0.020600557327270508,0.011402368545532227
4,3.2303926944732666,0.015416145324707031,0.01142263412475586
5,3.1893181800842285,0.03399038314819336,0.011433839797973633
6,3.211646318435669,0.04889726638793945,0.01141214370727539
7,4.7855682373046875,0.02014327049255371,0.011465311050415039
8,3.272486925125122,0.015039443969726562,0.011446714401245117
9,3.212909460067749,0.03396201133728027,0.011427640914916992
10,3.2030863761901855,0.03456449508666992,0.011443376541137695
11,3.1762237548828125,0.03403067588806152,0.011412858963012695
12,3.139897346496582,0.015116453170776367,0.011404275894165039
13,4.830217599868774,0.042024850845336914,0.011417388916015625
14,3.250474452972412,0.04081869125366211,0.01144862174987793
15,3.1874945163726807,0.015241861343383789,0.011404275894165039
16,3.163271903991699,0.04906201362609863,0.01140737533569336
17,3.125540018081665,0.01565861701965332,0.011413812637329102
18,3.153951644897461,0.04132199287414551,0.011413812637329102
19,4.9659264087677,0.02095770835876465,0.011422395706176758
20,3.3652472496032715,0.016140222549438477,0.011441230773925781
21,3.2647547721862793,0.026109695434570312,0.011438131332397461
22,3.2760543823242188,0.02561473846435547,0.011389017105102539
23,3.1724534034729004,0.026397228240966797,0.011455059051513672
24,3.2933261394500732,0.020542144775390625,0.011414051055908203
25,4.989920139312744,0.015412569046020508,0.011406898498535156
26,3.223491907119751,0.02643609046936035,0.011405706405639648
27,3.161299467086792,0.015033721923828125,0.011398792266845703
28,3.1695477962493896,0.04066658020019531,0.011397600173950195
29,3.212322473526001,0.04059600830078125,0.011412620544433594
30,3.1866941452026367,0.03313946723937988,0.011416196823120117
31,4.993246078491211,0.015171527862548828,0.011393547058105469
32,3.2136614322662354,0.02123260498046875,0.011414527893066406
33,3.163949966430664,0.020234346389770508,0.011455535888671875
34,3.1664440631866455,0.014559030532836914,0.01139378547668457
35,3.156730890274048,0.03374361991882324,0.011411190032958984
36,3.161930799484253,0.015384674072265625,0.011445045471191406
37,5.074280738830566,0.04182124137878418,0.011420965194702148
38,3.244532585144043,0.019510269165039062,0.011395692825317383
39,3.1928539276123047,0.015386819839477539,0.011412382125854492
40,3.2579596042633057,0.02712273597717285,0.011519193649291992
41,3.176501989364624,0.025603294372558594,0.011386632919311523
42,3.164855718612671,0.01930832862854004,0.011397600173950195
43,3.1227993965148926,0.015159368515014648,0.011446237564086914
44,5.150750160217285,0.017237186431884766,0.011396646499633789
45,3.1989617347717285,0.017896413803100586,0.011405706405639648
46,3.2458059787750244,0.0238797664642334,0.011411190032958984
47,3.1674156188964844,0.020078182220458984,0.01140451431274414
48,3.1772727966308594,0.024119853973388672,0.011390447616577148
49,3.1469359397888184,0.01558065414428711,0.01139068603515625
50,3.1422410011291504,0.017010211944580078,0.011411666870117188
51,5.251064777374268,0.016119003295898438,0.011421442031860352
52,3.244121551513672,0.016891002655029297,0.011420965194702148
53,3.2342419624328613,0.015951156616210938,0.011402368545532227
54,3.252229928970337,0.015056848526000977,0.011478662490844727
55,3.2394630908966064,0.016187667846679688,0.011409282684326172
