Sample Index,Export Time (s),Inference Time (s),Is Correct,Max Difference
0,3.5204579830169678,0.1622157096862793,True,0.0
1,3.412801742553711,0.026764392852783203,True,0.0
2,3.37097430229187,0.02008819580078125,True,0.0
3,3.386307716369629,0.020216703414916992,True,0.0
4,3.406202793121338,0.014965534210205078,True,0.0
5,3.4020962715148926,0.033692359924316406,True,0.0
6,3.4607460498809814,0.048813819885253906,True,0.0
7,3.179487466812134,0.020148515701293945,True,0.0
8,3.2067997455596924,0.01576519012451172,True,0.0
9,3.518512725830078,0.03359627723693848,True,0.0
10,3.4674644470214844,0.03460359573364258,True,0.0
11,3.285418748855591,0.03381228446960449,True,0.0
12,3.486499786376953,0.014609098434448242,True,0.0
13,3.4834201335906982,0.04155373573303223,True,0.0
14,3.205883264541626,0.040853023529052734,True,0.0
15,3.4899516105651855,0.01608729362487793,True,0.0
16,3.218067169189453,0.04925274848937988,True,0.0
17,3.2189242839813232,0.015152454376220703,True,0.0
18,3.604163408279419,0.041376352310180664,True,0.0
19,3.2167558670043945,0.01980733871459961,True,0.0
20,3.5556976795196533,0.014884471893310547,True,0.0
21,3.1993629932403564,0.0265963077545166,True,0.0
22,3.6594555377960205,0.02531719207763672,True,0.0
23,3.2015957832336426,0.025613784790039062,True,0.0
24,3.72625470161438,0.02178812026977539,True,0.0
25,3.2290830612182617,0.015521526336669922,True,0.0
26,3.7633473873138428,0.025548934936523438,True,0.0
27,3.3560733795166016,0.014803409576416016,True,0.0
28,3.7781436443328857,0.04086756706237793,True,0.0
29,3.1726741790771484,0.040572166442871094,True,0.0
30,3.775505542755127,0.03331613540649414,True,0.0
31,3.248795747756958,0.014879703521728516,True,0.0
32,3.1675076484680176,0.0206756591796875,True,0.0
33,3.9009251594543457,0.020562171936035156,True,0.0
34,3.2106077671051025,0.014904022216796875,True,0.0
35,3.8084428310394287,0.03364300727844238,True,0.0
36,3.1395576000213623,0.015125274658203125,True,0.0
37,3.211794137954712,0.041652679443359375,True,0.0
38,3.80236554145813,0.019545316696166992,True,0.0
39,3.291231155395508,0.015579700469970703,True,0.0
40,3.914443254470825,0.027294397354125977,True,0.0
41,3.2794718742370605,0.025491714477539062,True,0.0
42,3.3021602630615234,0.020548343658447266,True,0.0
43,4.0338239669799805,0.016022682189941406,True,0.0
44,3.3106906414031982,0.01774740219116211,True,0.0
45,3.229851722717285,0.017292499542236328,True,0.0
46,3.977306604385376,0.025243282318115234,True,0.0
47,3.3075525760650635,0.020580053329467773,True,0.0
48,3.226283311843872,0.024498462677001953,True,0.0
49,3.9818334579467773,0.015928983688354492,True,0.0
50,3.2980432510375977,0.015812397003173828,True,0.0
51,3.236318588256836,0.016289949417114258,True,0.0
52,4.088233470916748,0.015773773193359375,True,0.0
53,3.227250337600708,0.0160064697265625,True,0.0
54,3.182884693145752,0.015401124954223633,True,0.0
55,4.122636795043945,0.016013622283935547,True,0.0
56,3.2476284503936768,0.015381097793579102,True,0.0
57,3.2724721431732178,0.01759624481201172,True,0.0
58,3.2987730503082275,0.014879226684570312,True,0.0
59,4.241663217544556,0.03386425971984863,True,0.0
60,3.3687963485717773,0.019671916961669922,True,0.0
61,3.2378194332122803,0.02571415901184082,True,0.0
62,4.196849822998047,0.03360700607299805,True,0.0
63,3.2619428634643555,0.026702880859375,True,0.0
64,3.277524948120117,0.02549433708190918,True,0.0
65,3.217397689819336,0.025652647018432617,True,0.0
66,4.313588619232178,0.020554542541503906,True,0.0
67,3.2696685791015625,0.026026248931884766,True,0.0
68,3.2440645694732666,0.02095508575439453,True,0.0
69,3.166548490524292,0.01718902587890625,True,0.0
70,4.319342613220215,0.016150236129760742,True,0.0
71,3.445662021636963,0.01606273651123047,True,0.0
72,3.2640044689178467,0.015505313873291016,True,0.0
73,3.2130134105682373,0.015529155731201172,True,0.0
74,4.339000940322876,0.016796350479125977,True,0.0
75,3.3090457916259766,0.014940738677978516,True,0.0
76,3.301215410232544,0.015466928482055664,True,0.0
77,3.140448808670044,0.01511240005493164,True,0.0
78,4.432067155838013,0.016981840133666992,True,0.0
79,3.2623162269592285,0.014835834503173828,True,0.0
80,3.280548095703125,0.016475677490234375,True,0.0
81,3.1635026931762695,0.01636052131652832,True,0.0
82,3.193624973297119,0.014904260635375977,True,0.0
83,4.426566123962402,0.014964580535888672,True,0.0
84,3.1923651695251465,0.015343189239501953,True,0.0
85,3.1566803455352783,0.01988673210144043,True,0.0
86,3.2237818241119385,0.025186538696289062,True,0.0
87,4.5421435832977295,0.019997596740722656,True,0.0
88,3.283418655395508,0.016812801361083984,True,0.0
89,3.1478562355041504,0.014787435531616211,True,0.0
90,3.271760940551758,0.020977020263671875,True,0.0
91,3.241093397140503,0.02685093879699707,True,0.0
92,4.656879663467407,0.015191316604614258,True,0.0
93,3.2474987506866455,0.021317481994628906,True,0.0
94,3.225476026535034,0.023786067962646484,True,0.0
95,3.189635992050171,0.014974594116210938,True,0.0
96,3.2357115745544434,0.03300642967224121,True,0.0
97,4.663719892501831,0.020372629165649414,True,0.0
98,3.27970552444458,0.025162935256958008,True,0.0
99,3.22823166847229,0.020680904388427734,True,0.0
