Sample Index,Export Time (s),Inference Time (s)
0,16.954918146133423,0.2034775416056315
1,0.0,0.12463172276814778
2,0.0,0.12346760431925456
3,0.0,0.12499125798543294
4,0.0,0.12453134854634602
5,0.0,0.12721538543701172
6,0.0,0.12467400232950847
7,0.0,0.1258110205332438
8,0.0,0.12472804387410481
9,0.0,0.125719944636027
10,0.0,0.12627768516540527
11,0.0,0.12464404106140137
12,0.0,0.1240391731262207
13,0.0,0.1260105768839518
14,0.0,0.12513033548990884
15,0.0,0.1268026034037272
16,0.0,0.12564524014790854
17,0.0,0.12485917409261067
18,0.0,0.1256407101949056
19,0.0,0.12708338101704916
20,0.0,0.12622547149658203
21,0.0,0.12701058387756348
22,0.0,0.12759248415629068
23,0.0,0.1260197957356771
24,0.0,0.126511017481486
25,0.0,0.12523357073465982
26,0.0,0.12709712982177734
27,0.0,0.12773577372233072
28,0.0,0.12704221407572427
29,0.0,0.1260070006052653
30,0.0,0.1280837059020996
31,0.0,0.1271060307820638
32,0.0,0.12763063112894693
33,0.0,0.12784075736999512
34,0.0,0.12682310740152994
35,0.0,0.12682890892028809
36,0.0,0.1282209555308024
37,0.0,0.12780086199442545
38,0.0,0.12773537635803223
39,0.0,0.12783320744832358
40,0.0,0.12647326787312826
41,0.0,0.12785585721333823
42,0.0,0.12807257970174155
43,0.0,0.12612668673197427
44,0.0,0.12882725397745767
45,0.0,0.12832999229431152
46,0.0,0.12697037061055502
47,0.0,0.12707010904947916
48,0.0,0.1277193228403727
49,0.0,0.12920522689819336
50,0.0,0.1287238597869873
51,0.0,0.12872719764709473
52,0.0,0.1289097468058268
53,0.0,0.12803228696187338
54,0.0,0.1289240519205729
55,0.0,0.1294238567352295
56,0.0,0.12864351272583008
57,0.0,0.1294111410776774
58,0.0,0.13001267115275064
59,0.0,0.1288579305013021
60,0.0,0.12917709350585938
61,0.0,0.1300506591796875
62,0.0,0.12953837712605795
63,0.0,0.13020428021748862
64,0.0,0.12874706586201987
65,0.0,0.1289980411529541
66,0.0,0.12805350621541342
67,0.0,0.12917757034301758
68,0.0,0.12908005714416504
69,0.0,0.13091826438903809
70,0.0,0.1309218406677246
71,0.0,0.13082989056905112
72,0.0,0.13029702504475912
73,0.0,0.13033628463745117
74,0.0,0.13003873825073242
75,0.0,0.12974087397257486
76,0.0,0.1298698584238688
77,0.0,0.13059282302856445
78,0.0,0.1316246191660563
79,0.0,0.13048171997070312
80,0.0,0.1309208075205485
81,0.0,0.1317296822865804
82,0.0,0.13060776392618814
83,0.0,0.13140972455342612
84,0.0,0.13073341051737467
85,0.0,0.13148991266886392
86,0.0,0.1302661101023356
87,0.0,0.12600978215535483
88,0.0,0.13083155949910483
89,0.0,0.131561279296875
90,0.0,0.13195077578226724
91,0.0,0.13139971097310385
92,0.0,0.13157876332600912
93,0.0,0.13248149553934732
94,0.0,0.13037935892740884
95,0.0,0.13135584195454916
96,0.0,0.1323415438334147
97,0.0,0.1332551638285319
98,0.0,0.13332549730936685
99,0.0,0.13157073656717935
