Sample Index,Export Time (s),Inference Time (s)
1,8.451862335205078,0.663684606552124
3,8.520642757415771,0.30429983139038086
4,8.392213582992554,0.3023993968963623
5,8.438885927200317,0.30860066413879395
7,8.440452575683594,0.29468655586242676
9,8.469743728637695,0.5614888668060303
10,8.467592716217041,0.3035929203033447
11,8.49228286743164,0.3219263553619385
13,8.412296056747437,0.2965667247772217
15,8.210959672927856,0.6587421894073486
16,8.16052770614624,0.6572895050048828
17,8.226051568984985,0.30560302734375
19,8.504631996154785,0.2911555767059326
21,8.614307165145874,0.29783034324645996
22,8.61025857925415,0.2996251583099365
24,8.479703903198242,0.29894280433654785
26,8.14137864112854,0.2962510585784912
28,8.598067283630371,0.2915959358215332
30,8.675302028656006,0.30094003677368164
31,8.180755853652954,0.8306338787078857
33,8.12106442451477,0.29374217987060547
35,8.744222164154053,0.2994682788848877
36,8.162498474121094,0.879030704498291
37,8.243122577667236,0.3042106628417969
38,8.728283643722534,0.3039381504058838
40,8.07664680480957,0.2910013198852539
42,8.855899572372437,0.30779385566711426
44,8.184342384338379,0.29059886932373047
46,8.922565937042236,0.2976341247558594
47,8.863701105117798,0.30185770988464355
48,8.224097728729248,0.30648016929626465
51,8.926257848739624,0.298306941986084
53,8.221030712127686,0.29943227767944336
54,8.94950532913208,0.3081369400024414
56,8.106976509094238,0.2920827865600586
58,8.984524965286255,0.3094825744628906
60,8.271375894546509,0.2922677993774414
62,8.208955764770508,0.30104494094848633
63,9.0602445602417,0.3020005226135254
64,8.158464670181274,0.2918055057525635
65,9.11182165145874,0.30654406547546387
66,8.17548418045044,0.29814910888671875
67,9.082033634185791,0.3064756393432617
68,8.223129034042358,0.29810523986816406
69,9.139859676361084,0.2984919548034668
70,8.164653062820435,0.29520416259765625
71,8.201444149017334,0.294445276260376
72,9.150485515594482,0.3054392337799072
73,8.237558126449585,0.29656004905700684
74,8.17091417312622,0.290175199508667
75,9.300994634628296,0.2970850467681885
76,8.15288782119751,0.29314756393432617
77,9.135769605636597,0.29767441749572754
78,8.113211154937744,0.29400110244750977
79,8.163858413696289,0.288149356842041
80,9.268472671508789,0.2970893383026123
81,8.133602619171143,0.2923750877380371
82,8.089884042739868,0.2910466194152832
83,9.307569026947021,0.2976536750793457
84,8.227996110916138,0.3079543113708496
85,8.206908464431763,0.29735422134399414
86,9.44578218460083,0.2999868392944336
87,8.294384956359863,0.3065052032470703
88,8.22883129119873,0.29885220527648926
89,9.506582021713257,0.30565667152404785
90,8.276405334472656,0.3016676902770996
91,8.165058612823486,0.2955436706542969
92,8.179372310638428,0.29552412033081055
93,9.689972400665283,0.3085052967071533
94,8.224405765533447,0.2941439151763916
95,8.179047107696533,0.28959131240844727
96,9.583937883377075,0.2992584705352783
97,8.179226636886597,0.29442477226257324
98,8.215588331222534,0.29282259941101074
99,8.062835454940796,0.28906702995300293
